data,dt,ts
"{'location': 'Monaco', 'confirmed': 109, 'deaths': 4, 'recovered': 97, 'active': 8}",07-14-2020,1594684800
"{'location': 'Barbados', 'confirmed': 103, 'deaths': 7, 'recovered': 90, 'active': 6}",07-14-2020,1594684800
"{'location': 'Seychelles', 'confirmed': 100, 'deaths': 0, 'recovered': 11, 'active': 89}",07-14-2020,1594684800
"{'location': 'Bhutan', 'confirmed': 84, 'deaths': 0, 'recovered': 76, 'active': 8}",07-14-2020,1594684800
"{'location': 'Liechtenstein', 'confirmed': 84, 'deaths': 1, 'recovered': 81, 'active': 2}",07-14-2020,1594684800
"{'location': 'Antigua and Barbuda', 'confirmed': 74, 'deaths': 3, 'recovered': 57, 'active': 14}",07-14-2020,1594684800
"{'location': 'Gambia', 'confirmed': 64, 'deaths': 3, 'recovered': 34, 'active': 27}",07-14-2020,1594684800
"{'location': 'Belize', 'confirmed': 37, 'deaths': 2, 'recovered': 20, 'active': 15}",07-14-2020,1594684800
"{'location': 'Saint Vincent and the Grenadines', 'confirmed': 35, 'deaths': 0, 'recovered': 29, 'active': 6}",07-14-2020,1594684800
"{'location': 'Fiji', 'confirmed': 26, 'deaths': 0, 'recovered': 18, 'active': 8}",07-14-2020,1594684800
"{'location': 'Timor-Leste', 'confirmed': 24, 'deaths': 0, 'recovered': 24, 'active': 0}",07-14-2020,1594684800
"{'location': 'Grenada', 'confirmed': 23, 'deaths': 0, 'recovered': 23, 'active': 0}",07-14-2020,1594684800
"{'location': 'Saint Lucia', 'confirmed': 22, 'deaths': 0, 'recovered': 19, 'active': 3}",07-14-2020,1594684800
"{'location': 'Laos', 'confirmed': 19, 'deaths': 0, 'recovered': 19, 'active': 0}",07-14-2020,1594684800
"{'location': 'Dominica', 'confirmed': 18, 'deaths': 0, 'recovered': 18, 'active': 0}",07-14-2020,1594684800
"{'location': 'Saint Kitts and Nevis', 'confirmed': 17, 'deaths': 0, 'recovered': 15, 'active': 2}",07-14-2020,1594684800
"{'location': 'Holy See', 'confirmed': 12, 'deaths': 0, 'recovered': 12, 'active': 0}",07-14-2020,1594684800
"{'location': 'Papua New Guinea', 'confirmed': 11, 'deaths': 0, 'recovered': 8, 'active': 3}",07-14-2020,1594684800
"{'location': 'Western Sahara', 'confirmed': 10, 'deaths': 1, 'recovered': 8, 'active': 1}",07-14-2020,1594684800
"{'location': 'MS Zaandam', 'confirmed': 9, 'deaths': 2, 'recovered': 0, 'active': 7}",07-14-2020,1594684800
